Caso;Actuación;Duración;Gestión;Fecha Límite
Caso Odebrecht – Ruta del Sol II (sobornos y otrosíes);Revocatoria de medida de aseguramiento;15;;2/10/2025 0:00
Semilleros de Ciencia – becas sin convocatoria pública (Bogotá, 2022);Audiencia de suspensión condicional del procedimiento (cuando procede);17;;7/11/2025 0:00
Ciclorruta Met – sobreprecios en señalética (AMVA, 2021);Variación de la calificación jurídica;20;;3/12/2025 0:00
Caso Colmenares (muerte de Luis A.  Colmenares, procesos y absoluciones);Control posterior de diligencias de policía judicial;20;;24/11/2025 0:00
Cartel de la Educación – PAE (manipulación de raciones);Legalización de captura;21;;5/10/2025 0:00
Vitalogic – Bucaramanga (contratación indebida de basuras);Corrección o adición de acusación;21;;6/12/2025 0:00
Cartel de la Seguridad Vial – contratos de señalización (investigado);Audiencia de sustitución de medida por brazalete electrónico;23;;28/10/2025 0:00
Estadio 2.0 – graderías sin norma sismorresistente (Atlántico, 2018);Aceptación de cargos;24;;27/10/2025 0:00
Cartel de las Ambulancias – Bogotá (traslados inflados);Audiencia de entrega de elementos materiales probatorios;27;;2/09/2025 0:00
Energía Limpia I – granja solar inconclusa (Guaviare, 2023);Audiencia de entrega de elementos materiales probatorios;28;;18/11/2025 0:00
Enilce López ‘La Gata’ (concierto para delinquir, chance);Audiencia de verificación de querella y desistimiento;29;;4/12/2025 0:00
Red de Alimentos – operadores del PAE coligados (Nariño, 2022);Exclusión de pruebas (ilegalidad/pertinencia);30;;5/12/2025 0:00
Vía al Mar II – atrasos por liberación predial (Sucre, 2021);Sustitución de medida de aseguramiento;30;;12/09/2025 0:00
Caso Interbolsa (colapso firma comisionista);Audiencia de verificación de preacuerdo con víctimas;30;;18/10/2025 0:00
Cartel del Aseo Urbano – ciudades intermedias (licitaciones direccionadas);Audiencia de cadena de custodia (control y controversia);31;;7/09/2025 0:00
Plan de Choque Vial – mezcla asfáltica no conforme (Córdoba, 2022);Acumulación procesal;31;;31/10/2025 0:00
Centro de Innovación – propiedad intelectual no cedida (Atlántico, 2023);Control de legalidad de incautaciones;31;;6/10/2025 0:00
Cartel de la Toga (corrupción en altas cortes);Exclusión de pruebas (ilegalidad/pertinencia);32;;13/09/2025 0:00
Clínica del Sur – contratación de hemoderivados inflada (Putumayo, 2021);Legalización de captura;32;;19/09/2025 0:00
Observatorio de Datos – plataforma sin interoperabilidad (Caldas, 2022);Acumulación procesal;32;;23/11/2025 0:00
Red de Catastro – actualización predial direccionada (Antioquia, 2023);Audiencia de verificación de preacuerdo con víctimas;32;;20/11/2025 0:00
Cartel de la Vivienda VIS – subsidios desviados (varias ciudades);Control de legalidad de allanamiento y registro;33;;22/09/2025 0:00
Alumbrado Festivo – prórrogas injustificadas (Córdoba, 2021);Legalización de captura;33;;1/11/2025 0:00
Cartel de los Blindados – compras estatales (sobreprecios);Variación de la calificación jurídica;33;;27/11/2025 0:00
Conexión Fluvial – dragado sin licencia de vertimientos (Magdalena, 2022);Exclusión de pruebas (ilegalidad/pertinencia);34;;23/09/2025 0:00
DMG – David Murcia Guzmán (piramidal);Audiencia de preacuerdo (verificación judicial);35;;18/10/2025 0:00
Vía del Litoral – actas de obra alteradas (Magdalena, 2019–2022);Control posterior de diligencias de policía judicial;35;;17/10/2025 0:00
Red de Plazas de Mercado – interventoría sin personal (Cauca, 2022);Audiencia de habeas corpus (control de libertad);37;;2/11/2025 0:00
Vías para la Paz – actas de recibo con metraje inflado (Caquetá, 2020);Nulidad en control de garantías;38;;5/09/2025 0:00
